status,bracket_low,bracket_high,rate,source
single,0,12400,0.10,IRS TY2026 inflation / newsroom
single,12400,50400,0.12,IRS TY2026
single,50400,105700,0.22,IRS TY2026
single,105700,201775,0.24,IRS TY2026
single,201775,256225,0.32,IRS TY2026
single,256225,640600,0.35,IRS TY2026
single,640600,999999999,0.37,IRS TY2026
mfj,0,24800,0.10,IRS TY2026
mfj,24800,100800,0.12,IRS TY2026
mfj,100800,211400,0.22,IRS TY2026
mfj,211400,403550,0.24,IRS TY2026
mfj,403550,512450,0.32,IRS TY2026
mfj,512450,768700,0.35,IRS TY2026
mfj,768700,999999999,0.37,IRS TY2026
